ID,DIM,MAVG,LACT,Variable_B,Variable_C,FilterMinMax_P,FilterEquals_Z,Variable_D
3446,265,72,1,1,1,1,1,1
3448,214,84,1,1,1,1,1,1
3450,241,75,1,1,1,1,1,1
3453,116,65,1,1,1,1,1,1
3455,187,55,1,1,1,1,1,1
3456,103,72,1,1,1,1,1,1
3458,234,59,1,1,1,1,1,1
3461,177,90,1,1,1,1,1,1
3465,182,89,1,1,1,1,1,1
3466,96,96,1,1,1,1,1,1
3467,168,96,1,1,1,1,1,1
3468,217,79,1,1,1,1,1,1
3471,170,78,1,1,1,1,1,1
3472,218,77,1,1,1,1,1,1
3474,122,81,1,1,1,1,1,1
3475,189,87,1,1,1,1,1,1
3478,185,94,1,1,1,1,1,1
3480,180,67,1,1,1,1,1,1
3482,106,66,1,1,1,1,1,1
3484,93,77,1,1,1,1,1,1
3486,165,81,1,1,1,1,1,1
3493,36,79,1,1,1,1,1,1
3499,57,90,1,1,1,1,1,1
3500,118,83,1,1,1,1,1,1
3501,104,67,1,1,1,1,1,1
3502,64,79,1,1,1,1,1,1
3503,48,78,1,1,1,1,1,1
3504,76,62,1,1,1,1,1,1
3506,100,79,1,1,1,1,1,1
3507,61,90,1,1,1,1,1,1
3509,91,101,1,1,1,1,1,1
3510,74,81,1,1,1,1,1,1
3511,81,93,1,1,1,1,1,1
3512,64,82,1,1,1,1,1,1
3514,4,43,1,1,1,1,1,1
3515,47,80,1,1,1,1,1,1
3516,39,75,1,1,1,1,1,1
3517,78,76,1,1,1,1,1,1
3521,73,87,1,1,1,1,1,1
3522,58,76,1,1,1,1,1,1
3523,28,77,1,1,1,1,1,1
3526,44,85,1,1,1,1,1,1
3528,30,70,1,1,1,1,1,1
3529,58,66,1,1,1,1,1,1
3530,45,71,1,1,1,1,1,1
3532,63,75,1,1,1,1,1,1
3534,37,85,1,1,1,1,1,1
3535,6,28,1,1,1,1,1,1
3543,21,59,1,1,1,1,1,1
3545,21,50,1,1,1,1,1,1
3280,191,77,2,1,1,1,1,1
3314,204,95,2,1,1,1,1,1
3319,233,82,2,1,1,1,1,1
3324,230,80,2,1,1,1,1,1
3336,191,78,2,1,1,1,1,1
3348,90,99,2,1,1,1,1,1
3349,70,133,2,1,1,1,1,1
3351,150,94,2,1,1,1,1,1
3356,181,107,2,1,1,1,1,1
3363,179,97,2,1,1,1,1,1
3371,4,34,2,1,1,1,1,1
3372,50,107,2,1,1,1,1,1
3373,142,86,2,1,1,1,1,1
3374,52,115,2,1,1,1,1,1
3375,80,118,2,1,1,1,1,1
3378,87,105,2,1,1,1,1,1
3380,135,95,2,1,1,1,1,1
3388,77,106,2,1,1,1,1,1
3389,24,119,2,1,1,1,1,1
3392,5,70,2,1,1,1,1,1
3394,39,118,2,1,1,1,1,1
3398,35,105,2,1,1,1,1,1
3399,1,0,2,1,1,1,1,1
3400,29,98,2,1,1,1,1,1
3401,9,83,2,1,1,1,1,1
3406,47,112,2,1,1,1,1,1
3409,11,87,2,1,1,1,1,1
3416,31,111,2,1,1,1,1,1
3129,242,110,3,1,1,1,1,1
3176,98,123,3,1,1,1,1,1
3185,163,110,3,1,1,1,1,1
3191,93,116,3,1,1,1,1,1
3198,189,99,3,1,1,1,1,1
3200,274,71,3,1,1,1,1,1
3203,137,97,3,1,1,1,1,1
3207,196,109,3,1,1,1,1,1
3209,70,135,3,1,1,1,1,1
3210,74,123,3,1,1,1,1,1
3212,183,83,3,1,1,1,1,1
3214,133,111,3,1,1,1,1,1
3217,103,109,3,1,1,1,1,1
3226,197,92,3,1,1,1,1,1
3227,93,125,3,1,1,1,1,1
3237,113,101,3,1,1,1,1,1
3239,16,105,3,1,1,1,1,1
3244,128,110,3,1,1,1,1,1
3245,197,125,3,1,1,1,1,1
3246,147,90,3,1,1,1,1,1
3249,42,131,3,1,1,1,1,1
3251,42,113,3,1,1,1,1,1
3254,140,86,3,1,1,1,1,1
3255,101,126,3,1,1,1,1,1
3257,56,143,3,1,1,1,1,1
3258,50,115,3,1,1,1,1,1
3260,73,101,3,1,1,1,1,1
3266,9,70,3,1,1,1,1,1
3267,7,60,3,1,1,1,1,1
3268,83,134,3,1,1,1,1,1
3271,51,125,3,1,1,1,1,1
3274,108,108,3,1,1,1,1,1
3283,34,98,3,1,1,1,1,1
3284,55,133,3,1,1,1,1,1
3285,93,114,3,1,1,1,1,1
3286,83,88,3,1,1,1,1,1
3288,7,75,3,1,1,1,1,1
3299,60,117,3,1,1,1,1,1
3303,19,107,3,1,1,1,1,1
3311,26,93,3,1,1,1,1,1
3063,98,114,4,1,1,1,1,1
3068,251,103,4,1,1,1,1,1
3072,134,84,4,1,1,1,1,1
3092,134,122,4,1,1,1,1,1
3097,98,97,4,1,1,1,1,1
3099,164,105,4,1,1,1,1,1
3100,289,87,4,1,1,1,1,1
3103,213,86,4,1,1,1,1,1
3111,118,130,4,1,1,1,1,1
3138,135,126,4,1,1,1,1,1
3139,150,100,4,1,1,1,1,1
3142,22,114,4,1,1,1,1,1
3149,120,129,4,1,1,1,1,1
3160,12,88,4,1,1,1,1,1
3180,3,79,4,1,1,1,1,1
2873,237,93,5,1,1,1,1,1
2963,104,117,5,1,1,1,1,1
2964,5,91,5,1,1,1,1,1
2965,59,127,5,1,1,1,1,1
2992,76,155,5,1,1,1,1,1
2772,215,92,6,1,1,1,1,1
2806,8,59,6,1,1,1,1,1
2882,87,87,6,1,1,1,1,1
2696,17,68,7,1,1,1,1,1
2715,155,93,7,1,1,1,1,1
2747,87,134,7,1,1,1,1,1
2626,96,91,8,1,1,1,1,1
